ID,Name,latitude,longitude
1,AL FAHAD TRADING,1.285495272,103.843852
2,RIVERSIDE PROPERTY PTE LTD,1.291970509,103.8411571
3,CENTRAL EXCHANGE,1.294879051,103.8576755
4,FAUZY GIFTS,1.282891408,103.8439555
5,ZELIFRASINAH MART,1.334325154,103.9623893
6,SAPPHIRE EXCHANGE,1.304485801,103.8339419
7,RESORTS FOREIGN EXCHANGE,1.436007838,103.7856887
8,MILLION DOLLAR EXCHANGE,1.294879051,103.8576755
9,EXCELLENT EXCHANGE,1.285495272,103.843852
10,AKSHA EXCHANGE,1.301891756,103.8641407
11,MONISHA EXCHANGE,1.305676892,103.851547
12,HKI INTERNATIONAL EXCHANGE,1.294879051,103.8576755
13,Money Exchange Hub,1.256299743,103.8199354
14,Rohail Exchange Pte Ltd,1.440538149,103.8009776
15,ISLAND FOREX,1.35349616,103.9396836
16,BABY MONEY CHANGERS,1.306578216,103.8516829
17,Delight Xchange,1.306195799,103.828509
18,Faizam Forex Pte Ltd,1.283619824,103.8520589
19,CAPITOL HOTEL MANAGEMENT PTE LTD tdg as The Capitol Kempinski Hotel Singapore,1.294162115,103.8507106
20,CAPITAL FOREX PTE LTD,1.283619824,103.8520589
21,E-GLOBEX PTE LTD,1.283619824,103.8520589
22,MYDEEN ENTERPRISE,1.303022995,103.8528756
23,MARINA BAY SANDS PTE. LTD.,1.284069144,103.8595195
24,EVERSHINE EXCHANGE PTE LTD,1.331160585,103.7951159
25,SAMLIT MONEYCHANGER PTE LTD,1.284133918,103.8425196
26,SIR MONEY CHANGER PTE LTD,1.262063365,103.8186256
27,ANUA GROUP MONEY EXCHANGERS PTE LTD,1.262063365,103.8186256
28,IAKABA EXCHANGE PTE. LTD.,1.262063365,103.8186256
29,BAY HOTEL & RESORT PL,1.266180556,103.8233854
30,KOK WEE SIN TEXTILES BATIK & GARMENTS,1.429929911,103.7746366
31,M I J MONEY CHANGER,1.283619824,103.8520589
32,ARCADE MONEY CHANGERS,1.283619824,103.8520589
33,CITY MONEYCHANGERS,1.283619824,103.8520589
34,AL ABRAR,1.264394682,103.8218086
35,AMARA HOTEL PROPERTIES PTE LTD,1.274927663,103.8435495
36,HAJI RAHMATHULLAH STORE,1.284133918,103.8425196
37,CRANTE MONEY CHANGER,1.284133918,103.8425196
38,MOHAMED IQBALDEEN TRADING,1.285495272,103.843852
39,RAZINA EXCHANGE,1.276724932,103.8451554
40,LOO & NG TRADING AND MONEY CHANGERS,1.283619824,103.8520589
41,EXTRACT MONEY CHANGER,1.283619824,103.8520589
42,SILVER RIVER MONEY CHANGER,1.291455268,103.8570073
43,ENG LOK MONEYCHANGER,1.284133918,103.8425196
44,HAJA T & T TRADING,1.283619824,103.8520589
45,AL-AMIN TRADING,1.283619824,103.8520589
46,MAJEED MONEY CHANGER,1.306996715,103.8291158
47,FOUNTAIN MONEY CHANGER,1.291455268,103.8570073
48,RCMS PROPERTIES PRIVATE LIMITED,1.290718319,103.8600473
49,AMAANATH TRADING,1.283619824,103.8520589
50,ARIZA MONEY EXCHANGE,1.262063365,103.8186256
51,INDOMAL EXCHANGE,1.264394682,103.8218086
52,PERFECT 1 EXCHANGE,1.275596198,103.8423932
53,MONEY MATTERS FOREIGN EXCHANGE,1.283619824,103.8520589
54,EMERALD MONEY CHANGER,1.284133918,103.8425196
55,GRAND EXCHANGE,1.283020866,103.8529228
56,TOMLINSON HOTEL PTE. LTD.,1.305661287,103.8260533
57,TRADEX 19,1.285495272,103.843852
58,PRECIOUS QUAY PTE. LTD.,1.283966678,103.8534802
59,PARK REGIS INVESTMENTS PTE LTD,1.288083561,103.8444433
60,CHINA CLASSIC PTE LTD,1.283000401,103.8486454
61,DAISHO DEVELOPMENT SINGAPORE PTE LTD,1.278307303,103.8507952
62,ROYAL GROUP DEVELOPMENT PTE LTD,1.245060096,103.8275257
63,SARMUS EXCHANGE AND TRADING,1.284133918,103.8425196
64,RASHA TRADERS,1.283619824,103.8520589
65,ROYAL GROUP HOLDINGS PTE LTD,1.279921977,103.8496548
66,TIME EXCHANGE PTE LTD,1.283619824,103.8520589
67,FAR EAST SOHO PTE LTD,1.27585065,103.8442449
68,UNIVERSAL MONEY XPRESS PTE LTD,1.283619824,103.8520589
69,SHINING MONEY EXCHANGE PTE LTD,1.266182754,103.860463
70,SLIDESG PTE LTD,1.299011331,103.7875673
71,SAIF MONEY CHANGER,1.280137411,103.8493164
72,MILLENIA PRIVATE LIMITED,1.293525048,103.8587748
73,ROBINSON EXCHANGE,1.283619824,103.8520589
74,JAY DA TRADING,1.443282035,103.7772942
75,SALEEM EXCHANGE CENTRE,1.285495272,103.843852
76,TOH SOON SHENG,1.429929911,103.7746366
77,FAR EAST EXCHANGE,1.282333365,103.8583084
78,GOLDEN DRAGON MONEY CHANGER,1.284998839,103.8446971
79,PEOPLE'S CORNER MONEY CHANGER,1.283619824,103.8520589
80,PRECIOUS TREASURE PTE LTD,1.286193239,103.8529704
81,HASSAN & SONS EXCHANGE,1.283619824,103.8520589
82,C K MONEY CHANGER,1.282813768,103.8427123
83,JONG HAP SERVICES & TRADING AGENCY,1.275735683,103.8457032
84,SHEEN INTERNATIONAL EXCHANGE,1.283619824,103.8520589
85,MEGA STARMINIMART,1.284133918,103.8425196
86,SAJAHTERA INVESTMENTS (SINGAPORE) PTE LIMITED,1.307089333,103.8314458
87,GOLDEN LANDMARK PTE LTD,1.301928132,103.857669
88,ALLBEST EXCHANGE PTE LTD,1.314957304,103.8934003
89,AL-NAJIB ENTERPRISE,1.44822653,103.8194621
90,CEL-ALEXANDRA PTE LTD,1.287579957,103.8053701
91,GRAND PARK OR PTE LTD TRADING AS GRAND PARK ORCHARD,1.303105268,103.836202
92,CP TRADING & CONSULTING SERVICES PTE LTD,1.346348193,103.7124293
93,CUPPAGE MONEY CHANGER,1.301983218,103.8407258
94,RAHMAN FOREIGN EXCHANGE,1.275735683,103.8457032
95,ORCHID HOTEL PRIVATE LIMITED,1.276936756,103.8438472
96,MOUNT FABER LEISURE GROUP PTE LTD,1.271273273,103.8194093
97,THE SCARLET HOTEL PTE. LTD.,1.280826348,103.8453995
98,AQUAMARINA HOTEL PRIVATE LIMITED,1.291455268,103.8570073
99,ALIFFAN AGENCY (PRIVATE) LIMITED,1.283619824,103.8520589
100,ARCADE PLAZA TRADERS PTE LTD,1.283619824,103.8520589
101,FEC Hotel Investments Pte Ltd tdg as Dorsett Singapore,1.279626693,103.8400076
102,RAFFLES MONEY CHANGE PTE LTD,1.283619824,103.8520589
103,EXCHANGE INTERNATIONAL PTE LTD,1.283619824,103.8520589
104,ALANKAR INTERNATIONAL PTE LTD,1.283531937,103.8444584
105,CYS GLOBAL REMIT PTE LTD,1.278518938,103.8500715
106,CROWN EXCHANGE PTE LTD,1.283619824,103.8520589
107,CARLTON PROPERTIES (SINGAPORE) PTE. LTD.,1.275958468,103.8436985
108,GOLDEN JINNAH PTE. LTD.,1.283619824,103.8520589
109,CITYVIEW PLACE HLDGS,1.246165494,103.8424281
110,AMARA SENTOSA INVESTMENTS PTE LTD,1.252128005,103.8220166
111,RESORTS WORLD AT SENTOSA PTE LTD,1.255933872,103.8192799
112,RESORTS WORLD AT SENTOSA PTE LTD,1.256021102,103.8190267
113,RESORTS WORLD AT SENTOSA PTE LTD,1.257465838,103.8189139
114,RESORTS WORLD AT SENTOSA PTE LTD,1.254933442,103.8202194
115,SHENTON 2000 EXCHANGE,1.279076468,103.8486839
116,V.I.P. EXCHANGE,1.27624053,103.8430061
117,CHINA MONEY EXCHANGE,1.283619824,103.8520589
118,SIRAJUDIN MONEY CHANGER,1.284133918,103.8425196
119,MUSFIRAH TRADING,1.300747562,103.8450476
120,MR CURRENCY EXCHANGE,1.27737236,103.8528448
121,MERCHANT COURT PTE LTD,1.28821803,103.8456923
122,TWIN TOWERS EXCHANGE,1.288862919,103.846556
123,ANISHA AND RIYAS STORE,1.285495272,103.843852
124,FURAMA HOTEL SINGAPORE PTE LTD,1.286473567,103.8445886
125,AK MONEY CHANGER & DEPARTMENT STORE,1.284133918,103.8425196
126,RIGHT ANGEL EXCHANGE,1.285495272,103.843852
127,GCC Exchange (S) Pte Ltd,1.283619824,103.8520589
128,ELITE EXCHANGE PRIVATE LIMITED,1.291847229,103.8501651
129,$&C Xchange Centre,1.285495272,103.843852
130,Vestin Exchange Pte Ltd,1.283619824,103.8520589
131,Moolahgo Pte Ltd,1.275625888,103.8471463
132,Fiat Trading,1.283619824,103.8520589
133,AAA Money Pte Ltd,1.284133918,103.8425196
134,Hasan Trading Money Exchange,1.283619824,103.8520589
135,Thin Margin Private Limited,1.291156847,103.8510443
136,MOHAMED THAHIR EXCHANGE PTE LTD,1.283619824,103.8520589
137,Ilhan International Pte Ltd,1.355803354,103.945103
138,GREAT EXCHANGE & TRADING,1.302453698,103.9056385
139,CAPITAL CITY TRADING,1.303050427,103.8610922
140,RB CAPITAL FARRER HOTEL PTE LTD tdg as Park Hotel Farrer Park,1.311980983,103.8547482
141,GOLDMILLION CURRENCY XCHANGE HUB,1.332975616,103.8479654
142,GOODWOOD PARK HOTEL PRIVATE LIMITED,1.30822215,103.8341091
143,MUHAMMED ENTERPRISE,1.327084859,103.8464765
144,MUSTAFA FOREIGN EXCHANGE PTE LTD,1.310033963,103.8559002
145,NALLUR STORE,1.391393057,103.8760677
146,PAAL TRADE CORPORATION (PTE) LTD,1.301928132,103.857669
147,PARK HOTEL CQ PTE LTD,1.291545967,103.8423274
148,PLAZA GEMS CO PTE. LTD.,1.314957304,103.8934003
149,PONTIAC HOTEL PRIVATE LIMITED,1.304673228,103.8248974
150,R.T.NATHAN DRUG STORE,1.30065103,103.849442
151,S ABDUL HAMID,1.324772079,103.9292677
152,A. MONEYLINK EXCHANGE,1.291847229,103.8501651
153,GOOD DAY TRADING,1.304485801,103.8339419
154,INTERNATIONAL EXCHANGE CO (SINGAPORE) PTE LTD,1.292220759,103.8506126
155,HABIB RAILWAY BOOK STORE,1.314231322,103.7650976
156,SHENTON MONEY EXCHANGER PTE. LTD.,1.27367658,103.801127
157,YUEN LAI MONEY CHANGER,1.378349714,103.7627412
158,72 MONEY CHANGING,1.431084679,103.7737483
159,TODAY'S MONEY EXCHANGE,1.332975616,103.8479654
160,SHARA EXCHANGE,1.35236113,103.9437848
161,Vision Exchange,1.371871111,103.8937902
162,SG Exchange Pte Ltd,1.377140734,103.9535991
163,Yes! Xchange,1.35480107,103.9444581
164,MFS Traders,1.299294067,103.7874041
165,Firman Shah International Exchange,1.324818171,103.9305443
166,Chulia Money Changer,1.350811668,103.8719657
167,Asmart Exchange,1.332975616,103.8479654
168,ASIA ENGRAVING STORE,1.304485801,103.8339419
169,ASHIQS FOREIGN EXCHANGE,1.292774327,103.784084
170,ILIYAS TRADING,1.286463457,103.8269351
171,MARINA BAY HOTEL PRIVATE LIMITED,1.290660596,103.858324
